NAME,YEAR,Dist,REG,VOTE,QUOTA,COUNTS,PTOTAL,PSIZE,PARTY,QSHARE,PSHARE,TOPS,LAST,CT1,Ct2,Ct3,Ct4,Ct5,Ct6,Ct7,Ct8,Ct9,Ct10,Ct11,Ct12,Ct13,Ct14,Ct15,Ct16,Ct17,Ct18,Ct19,Ct20,Ct21,Ct22,Ct23,Ct24,Ct25,Ct26,Ct27,Ct28,Ct29,Ct30,Ct31,Ct32,Xt33,Ct34,Ct35,Ct36,Ct37,,,
"Dandria, Enrico",1921,2,3174,2398,480,9,1056,44.04,14,125.21,56.91,601,480,601,480,480,480,480,480,480,480,480,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Preziosi, Luigi",1921,2,3174,2398,480,9,1056,44.04,14,24.58,11.17,186,0,118,173,174,176,186,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Said, Emmanuele",1921,2,3174,2398,480,9,1056,44.04,14,33.13,15.06,514,480,159,183,184,189,194,285,301,514,480,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Vassallo, Alfredo",1921,2,3174,2398,480,9,1056,44.04,14,37.08,16.86,291,0,178,198,199,201,203,271,291,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1921,2,3174,2398,480,9,0,0,99,0,0,157,157,0,0,0,4,7,16,115,157,157,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Agius, Arcangelo",1921,3,3890,2939,588,7,718,24.43,11,59.01,48.33,383,0,347,349,357,371,383,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Henry, Charles Sydney",1921,3,3890,2939,588,7,718,24.43,11,63.1,51.67,692,588,371,374,382,405,422,692,588,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Frendo, Enrico",1921,3,3890,2939,588,7,705,23.99,13,50.34,41.99,332,0,296,311,332,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg, Michel",1921,3,3890,2939,588,7,705,23.99,14,69.56,58.01,661,588,409,422,435,661,588,588,588,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Buttigieg, Filippo Nicolo",1921,3,3890,2939,588,7,1516,51.58,14,52.72,20.45,542,542,310,348,432,452,475,522,542,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Conti, Temistocle",1921,3,3890,2939,588,7,1516,51.58,14,27.89,10.82,188,0,164,188,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Dalli, Antonio",1921,3,3890,2939,588,7,1516,51.58,14,121.26,47.03,713,588,713,588,588,588,588,588,588,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Sammut, Carmelo",1921,3,3890,2939,588,7,1516,51.58,14,55.95,21.7,492,492,329,359,405,445,466,474,492,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1921,3,3890,2939,588,7,0,0,99,0,0,141,141,0,0,8,17,17,75,141,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Hamilton, Robert",1921,4,3765,2844,569,8,419,14.73,11,62.39,84.73,459,459,355,369,373,430,440,442,458,459,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Pace, Joseph",1921,4,3765,2844,569,8,419,14.73,11,11.25,15.27,67,0,64,66,67,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bencini, Giovanni",1921,4,3765,2844,569,8,1535,53.97,13,43.06,15.96,412,412,245,340,365,366,373,375,409,412,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Dundon, Michael",1921,4,3765,2844,569,8,1535,53.97,13,153.08,56.74,871,569,871,569,569,569,569,569,569,569,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Frendo, Pier Giuseppe",1921,4,3765,2844,569,8,1535,53.97,13,65.2,24.17,573,569,371,497,511,513,518,521,573,569,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Valenzia, Ercole",1921,4,3765,2844,569,8,1535,53.97,13,8.44,3.13,65,0,48,65,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bugelli, Carmelo",1921,4,3765,2844,569,8,890,31.29,14,86.29,55.17,600,569,491,517,523,525,600,569,569,569,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Ellul, Lorenzo",1921,4,3765,2844,569,8,890,31.29,14,46.75,29.89,351,0,266,278,283,283,327,351,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Paris, Antonio",1921,4,3765,2844,569,8,890,31.29,14,23.37,14.94,151,0,133,143,147,151,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1921,4,3765,2844,569,8,0,0,99,0,0,266,266,0,0,6,7,17,17,266,266,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mizzi, Lewis F.",1921,5,3783,2858,572,9,395,13.82,11,60.84,88.1,401,401,348,373,375,377,378,386,396,398,401,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Scerri, Annunciato",1921,5,3783,2858,572,9,395,13.82,11,1.4,2.03,8,0,8,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Testaferrata Bonici, Daniele",1921,5,3783,2858,572,9,395,13.82,11,6.82,9.87,39,0,39,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg Grech, Paolo",1921,5,3783,2858,572,9,1566,54.79,13,82.17,30.01,619,572,470,476,484,487,488,554,619,619,572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Busuttil, Vincenzo",1921,5,3783,2858,572,9,1566,54.79,13,59.97,21.9,607,607,343,343,349,367,371,393,469,563,607,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mifsud, Arturo",1921,5,3783,2858,572,9,1566,54.79,13,47.9,17.5,287,0,274,275,276,278,278,287,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Portelli, Leone",1921,5,3783,2858,572,9,1566,54.79,13,83.74,30.59,672,572,479,483,495,532,535,548,672,572,572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bonello, Francesco",1921,5,3783,2858,572,9,897,31.39,14,26.4,16.83,210,0,151,152,171,189,210,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Lanzon, Gaetano",1921,5,3783,2858,572,9,897,31.39,14,26.57,16.95,169,0,152,155,169,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Lubrano, Goffredo",1921,5,3783,2858,572,9,897,31.39,14,22.03,14.05,126,0,126,126,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mattei, Alfredo",1921,5,3783,2858,572,9,897,31.39,14,81.82,52.17,602,572,468,469,530,602,572,572,572,572,572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1921,5,3783,2858,572,9,0,0,99,0,0,134,134,0,6,9,26,26,118,130,134,134,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg, Giuseppe M.",1921,6,2967,2241,449,7,1238,55.24,11,8.69,3.15,278,278,39,223,232,233,245,254,278,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Salamone, Walter",1921,6,2967,2241,449,7,1238,55.24,11,4.23,1.54,459,449,19,459,449,449,449,449,449,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Strickland, Gerald",1921,6,2967,2241,449,7,1238,55.24,11,262.81,95.32,1180,449,1180,449,449,449,449,449,449,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Tua, Giacinto",1921,6,2967,2241,449,7,135,6.02,13,30.07,100,181,0,135,159,159,164,169,181,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg, Luigi",1921,6,2967,2241,449,7,782,34.9,14,44.1,25.32,463,463,198,220,221,245,259,383,463,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Buhagiar, Francesco",1921,6,2967,2241,449,7,782,34.9,14,88.86,51.02,449,449,399,413,413,430,449,449,449,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Grech, Paolo",1921,6,2967,2241,449,7,782,34.9,14,29.4,16.88,156,0,132,147,147,153,156,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Vassallo, Alberto",1921,6,2967,2241,449,7,782,34.9,14,11.8,6.78,61,0,53,61,61,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Sceberras Trigona, Pasquale Waldemar",1921,6,2967,2241,449,7,86,3.84,50,19.15,100,111,0,86,110,110,111,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1921,6,2967,2241,449,7,0,0,99,0,0,153,153,0,0,0,7,65,76,153,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Calleja Schembri, Henry",1921,7,3372,2547,510,6,820,32.2,11,47.65,29.63,324,324,243,252,256,257,264,324,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Testaferrata Bonici, Daniele",1921,7,3372,2547,510,6,820,32.2,11,35.88,22.32,194,0,183,185,189,189,194,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Vassallo, Edwin",1921,7,3372,2547,510,6,820,32.2,11,77.26,48.05,506,506,394,396,397,398,405,506,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg Olivier, Salvatore",1921,7,3372,2547,510,6,1727,67.81,14,123.14,36.36,628,510,628,510,510,510,510,510,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"De Giorgio, Giuseppe",1921,7,3372,2547,510,6,1727,67.81,14,72.75,21.48,538,510,371,463,538,510,510,510,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Ferris, Francesco",1921,7,3372,2547,510,6,1727,67.81,14,121.96,36.02,622,510,622,622,510,510,510,510,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Wirth, Francesco",1921,7,3372,2547,510,6,1727,67.81,14,20.78,6.14,173,0,106,119,147,173,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1921,7,3372,2547,510,6,0,0,99,0,0,187,187,0,0,0,0,154,187,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bondi, Giuseppe",1921,8,3695,2791,559,2,326,11.68,11,25.05,42.95,147,147,140,147,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mifsud, Francesco Saverio",1921,8,3695,2791,559,2,326,11.68,11,3.04,5.22,18,18,17,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Mizzi, Lewis F.",1921,8,3695,2791,559,2,326,11.68,11,30.23,51.84,170,170,169,170,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
