NAME,YEAR,Dist,REG,VOTE,QUOTA,COUNTS,PTOTAL,PSIZE,PARTY,QSHARE,PSHARE,TOPS,LAST,CT1,Ct2,Ct3,Ct4,Ct5,Ct6,Ct7,Ct8,Ct9,Ct10,Ct11,Ct12,Ct13,Ct14,Ct15,Ct16,Ct17,Ct18,Ct19,Ct20,Ct21,Ct22,Ct23,Ct24,Ct25,Ct26,Ct27,Ct28,Ct29,Ct30,Ct31,Ct32,Xt33,Ct34,Ct35,Ct36,Ct37,,,
"Pullicino, Anthony A.",1953,4,17159,14249,2375,20,6831,47.94,15,67.16,23.35,2969,2375,1595,1595,1595,1595,1596,1597,1597,1597,1598,1603,1603,1611,1611,1634,1725,1725,1807,2969,2375,2375,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Saliba, Philip",1953,4,17159,14249,2375,20,6831,47.94,15,66.7,23.19,2319,2319,1584,1584,1584,1584,1584,1585,1585,1586,1593,1593,1593,1595,1617,1619,1692,1692,1960,2013,2305,2319,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bezzina Wettinger, Angelo",1953,4,17159,14249,2375,20,1783,12.51,19,3.28,4.38,84,0,78,80,80,80,80,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cole, John",1953,4,17159,14249,2375,20,1783,12.51,19,58.74,78.24,2150,2150,1395,1400,1402,1405,1407,1412,1485,1493,1496,1497,1602,1763,1779,1799,1976,1976,2047,2113,2150,2150,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Craig, Edwin",1953,4,17159,14249,2375,20,1783,12.51,19,6.86,9.14,188,0,163,164,164,164,164,164,166,166,166,166,188,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Dalli, Gio. Maria",1953,4,17159,14249,2375,20,1783,12.51,19,0.59,0.79,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Scicluna, Edward",1953,4,17159,14249,2375,20,1783,12.51,19,5.6,7.46,136,0,133,135,135,135,135,135,136,136,136,136,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Attard, Salvu",1953,4,17159,14249,2375,20,988,6.93,20,8.46,20.34,219,0,201,201,202,203,203,211,211,217,218,218,219,219,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Busuttil, Edwin",1953,4,17159,14249,2375,20,988,6.93,20,3.66,8.81,96,0,87,87,88,89,89,92,96,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Formosa, V.M. (Censu)",1953,4,17159,14249,2375,20,988,6.93,20,0.59,1.42,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Montanaro, Anthony",1953,4,17159,14249,2375,20,988,6.93,20,1.35,3.24,33,0,32,32,32,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Strickland, Mabel",1953,4,17159,14249,2375,20,988,6.93,20,27.54,66.19,951,0,654,657,665,665,668,695,695,769,769,769,771,775,937,951,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1953,4,17159,14249,2375,20,0,0,99,0,0,505,505,0,0,0,0,1,14,17,21,22,23,24,25,31,43,409,415,456,505,505,505,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bartolo, Anthony L.",1953,5,20352,15421,2571,17,304,1.97,11,9.37,79.28,286,0,241,250,276,278,279,282,286,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"De Trafford Strickland, Cecilia",1953,5,20352,15421,2571,17,304,1.97,11,1.56,13.16,47,0,40,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Salomone, Walter",1953,5,20352,15421,2571,17,304,1.97,11,0.9,7.57,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bonaci, Cikku",1953,5,20352,15421,2571,17,5923,38.41,13,57.29,24.87,1778,1778,1473,1473,1476,1477,1478,1550,1554,1568,1648,1716,1725,1740,1766,1769,1770,1770,1778,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Camilleri, Bertram",1953,5,20352,15421,2571,17,5923,38.41,13,9.92,4.31,257,0,255,255,257,257,257,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Decesare, Maurice",1953,5,20352,15421,2571,17,5923,38.41,13,54.65,23.72,1741,1741,1405,1405,1407,1407,1407,1469,1472,1485,1542,1657,1667,1686,1727,1729,1729,1730,1741,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Ellul Mercer, Joseph",1953,5,20352,15421,2571,17,5923,38.41,13,95.96,41.65,2757,2571,2467,2467,2470,2470,2471,2548,2549,2562,2757,2571,2571,2571,2571,2571,2571,2571,2571,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Farrugia, Remig",1953,5,20352,15421,2571,17,5923,38.41,13,12.56,5.45,340,0,323,323,324,324,324,339,339,340,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg Olivier, Gaetano",1953,5,20352,15421,2571,17,6434,41.72,15,45.82,18.31,2373,2373,1178,1179,1185,1187,1223,1226,1236,1268,1269,1269,1286,1306,1421,1637,1700,1852,2373,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Farrugia, Riccardo",1953,5,20352,15421,2571,17,6434,41.72,15,9.72,3.89,253,0,250,251,251,253,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Felice, Giovanni",1953,5,20352,15421,2571,17,6434,41.72,15,66.59,26.61,2728,2571,1712,1713,1722,1725,1843,1849,1853,1868,1870,1870,1899,1920,1983,2460,2728,2571,2571,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Frendo Azzopardi, John (Jackie)",1953,5,20352,15421,2571,17,6434,41.72,15,83.08,33.2,2907,2571,2136,2137,2142,2151,2202,2203,2204,2226,2227,2227,2254,2278,2369,2907,2571,2571,2571,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Rizzo, Oscar",1953,5,20352,15421,2571,17,6434,41.72,15,45.04,18,1283,0,1158,1160,1160,1162,1196,1196,1201,1205,1205,1205,1220,1233,1283,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bencini, John",1953,5,20352,15421,2571,17,1490,9.66,19,10.46,18.05,277,0,269,270,272,275,275,277,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Camilleri, John",1953,5,20352,15421,2571,17,1490,9.66,19,11.67,20.13,636,0,300,301,304,310,310,317,459,472,472,473,636,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Craig, Edwin",1953,5,20352,15421,2571,17,1490,9.66,19,13.3,22.95,424,0,342,342,344,347,351,353,415,424,424,424,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Puglisevich, Guzeppi",1953,5,20352,15421,2571,17,1490,9.66,19,22.52,38.86,1225,0,579,579,580,580,580,580,614,617,618,620,740,1225,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Busuttil, Edwin",1953,5,20352,15421,2571,17,1270,8.24,20,9.02,18.27,244,0,232,232,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Formosa, V.M. (Censu)",1953,5,20352,15421,2571,17,1270,8.24,20,2.18,4.41,57,0,56,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Semini, Edward Jerome",1953,5,20352,15421,2571,17,1270,8.24,20,0.58,1.18,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Strickland, Mabel",1953,5,20352,15421,2571,17,1270,8.24,20,33.72,68.27,1409,0,867,878,998,1203,1204,1206,1210,1247,1247,1247,1268,1285,1384,1401,1405,1409,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Vassallo, Joseph George",1953,5,20352,15421,2571,17,1270,8.24,20,3.89,7.87,101,0,100,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1953,5,20352,15421,2571,17,0,0,99,0,0,1816,1816,0,1,9,15,21,26,29,139,142,142,155,177,917,947,947,947,1816,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Agius, Oscar",1953,6,19120,15190,2532,17,7538,49.63,13,25,8.4,858,0,633,650,650,650,706,706,706,706,711,821,847,858,858,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bencini, Robert",1953,6,19120,15190,2532,17,7538,49.63,13,6.75,2.27,180,0,171,180,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Cassar, Gerard",1953,6,19120,15190,2532,17,7538,49.63,13,3.12,1.05,79,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Flores, Joseph",1953,6,19120,15190,2532,17,7538,49.63,13,89.18,29.96,2618,2532,2258,2283,2285,2287,2374,2378,2379,2380,2403,2618,2532,2532,2532,2532,2532,2532,2532,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Hyzler, Albert V.",1953,6,19120,15190,2532,17,7538,49.63,13,63.19,21.23,2495,2495,1600,1609,1609,1610,1619,1619,1619,1619,1622,1658,1679,1688,1688,2312,2457,2487,2495,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Schembri, Joseph",1953,6,19120,15190,2532,17,7538,49.63,13,24.49,8.23,653,0,620,624,624,625,635,643,643,647,653,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Tabone, Emanuel C. (Leli)",1953,6,19120,15190,2532,17,7538,49.63,13,85.98,28.88,2678,2532,2177,2188,2188,2188,2199,2200,2200,2200,2202,2428,2466,2487,2487,2678,2532,2532,2532,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Camilleri, Giuseppe M.",1953,6,19120,15190,2532,17,5839,38.44,15,89.3,38.72,2534,2532,2261,2262,2265,2274,2275,2304,2384,2481,2495,2503,2503,2534,2532,2532,2532,2532,2532,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Caruana Demajo, Tom",1953,6,19120,15190,2532,17,5839,38.44,15,78.99,34.25,3516,2532,2000,2001,2002,2007,2008,2052,2196,2374,2416,2421,2422,2512,2513,2526,2526,3516,2532,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"D'Andria, Alberto Sigismondo",1953,6,19120,15190,2532,17,5839,38.44,15,12.8,5.55,335,0,324,325,325,326,326,335,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Muscat Manduca, Maria Louisa",1953,6,19120,15190,2532,17,5839,38.44,15,36.34,15.76,1101,0,920,920,924,924,925,937,1002,1065,1080,1082,1082,1100,1101,1101,1101,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Portelli, Giuseppe",1953,6,19120,15190,2532,17,5839,38.44,15,13.19,5.72,362,0,334,334,334,334,334,339,362,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg, Robert",1953,6,19120,15190,2532,17,1510,9.94,19,6.95,11.66,176,0,176,176,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Demajo, Pasquale",1953,6,19120,15190,2532,17,1510,9.94,19,15.4,25.83,1478,1478,390,390,391,524,525,561,572,578,759,775,775,1300,1300,1305,1306,1331,1478,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Portanier, John",1953,6,19120,15190,2532,17,1510,9.94,19,16.27,27.29,449,0,412,412,415,428,429,444,445,449,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Schembri Adami, Godfrey",1953,6,19120,15190,2532,17,1510,9.94,19,21.01,35.23,741,0,532,533,534,541,541,573,578,585,730,741,741,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Ellul, Cikku",1953,6,19120,15190,2532,17,303,2,20,7.23,60.4,285,0,183,185,284,285,285,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Montanaro, Anthony",1953,6,19120,15190,2532,17,303,2,20,4.23,35.31,116,0,107,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Sciberras, Costantin",1953,6,19120,15190,2532,17,303,2,20,0.51,4.29,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
* Non-Trans. *,1953,6,19120,15190,2532,17,0,0,99,0,0,1089,1089,0,2,4,7,9,99,104,106,119,143,143,179,179,204,204,260,1089,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Salomone, Walter",1953,7,19832,14150,2359,23,71,0.5,11,3.01,100,79,0,71,72,72,78,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Agius, Calcidon",1953,7,19832,14150,2359,23,5021,35.48,13,34.46,16.19,1036,0,813,813,822,822,823,825,841,842,842,842,843,951,953,1003,1027,1029,1033,1036,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bonaci, Gigi",1953,7,19832,14150,2359,23,5021,35.48,13,14.33,6.73,355,0,338,338,340,340,341,341,355,355,355,355,355,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg Cardona, Stephen R.",1953,7,19832,14150,2359,23,5021,35.48,13,4.11,1.93,97,0,97,97,97,97,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Flores, Joseph",1953,7,19832,14150,2359,23,5021,35.48,13,39.85,18.72,3099,2359,940,940,952,952,954,955,997,1002,1008,1008,1009,1172,1173,1339,1340,1348,1352,1360,2212,3099,2359,2359,2359,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Laferla, Alfred",1953,7,19832,14150,2359,23,5021,35.48,13,17.25,8.11,453,0,407,407,409,410,410,410,421,423,423,424,425,453,453,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Pulis, Mike",1953,7,19832,14150,2359,23,5021,35.48,13,59.05,27.74,2570,2359,1393,1393,1395,1395,1395,1395,1403,1405,1405,1405,1405,1421,1421,1632,1634,1634,1648,1649,1705,1840,2570,2359,2359,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Schembri, Joseph",1953,7,19832,14150,2359,23,5021,35.48,13,1.48,0.7,36,0,35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Vella, Ganni",1953,7,19832,14150,2359,23,5021,35.48,13,42.31,19.88,1099,0,998,998,999,999,999,1004,1005,1005,1005,1006,1010,1023,1024,1030,1030,1035,1036,1043,1099,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Agius, Emanuele",1953,7,19832,14150,2359,23,5471,38.66,15,63.33,27.31,2131,2131,1494,1494,1494,1495,1496,1497,1498,1500,1508,1511,1512,1512,1776,1779,1783,2015,2051,2086,2100,2103,2103,2103,2131,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Attard Montalto, Giuseppe",1953,7,19832,14150,2359,23,5471,38.66,15,28.66,12.36,724,0,676,676,676,676,677,679,679,679,686,691,697,705,714,714,724,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Borg Olivier, Giorgio",1953,7,19832,14150,2359,23,5471,38.66,15,66.21,28.55,2117,2117,1562,1563,1566,1569,1569,1579,1579,1581,1594,1601,1603,1605,1676,1681,1689,1961,1989,2054,2063,2067,2067,2067,2117,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Carbonaro, Antonio",1953,7,19832,14150,2359,23,5471,38.66,15,15.6,6.73,372,0,368,369,369,370,370,370,370,371,372,372,372,372,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Schembri, Carmelo",1953,7,19832,14150,2359,23,5471,38.66,15,58.12,25.06,1665,1665,1371,1371,1371,1371,1371,1374,1374,1378,1383,1391,1397,1397,1414,1416,1419,1533,1544,1599,1602,1628,1634,1639,1665,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bezzina Wettinger, Francis",1953,7,19832,14150,2359,23,2594,18.33,19,25.01,22.75,2301,2301,590,590,591,593,609,612,614,615,616,618,785,785,786,786,1059,1078,1397,1435,1456,1458,1460,1461,2301,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Chetcuti, Carmel",1953,7,19832,14150,2359,23,2594,18.33,19,2.04,1.85,48,0,48,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Grech, Paul",1953,7,19832,14150,2359,23,2594,18.33,19,26.62,24.21,735,0,628,628,631,633,641,644,644,660,668,673,691,693,694,697,733,735,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Muscat, Giuseppi",1953,7,19832,14150,2359,23,2594,18.33,19,21.24,19.31,535,0,501,502,502,502,508,510,510,510,511,515,533,535,535,535,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Scicluna, Peter Paul",1953,7,19832,14150,2359,23,2594,18.33,19,21.83,19.85,1117,0,515,516,516,517,525,528,528,531,532,536,604,605,605,606,765,775,1058,1106,1111,1115,1117,1117,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Vassallo, Pio",1953,7,19832,14150,2359,23,2594,18.33,19,13.23,12.03,319,0,312,312,312,312,315,318,319,319,319,319,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Amodeo, Tony",1953,7,19832,14150,2359,23,993,7.02,20,6.95,16.52,305,0,164,168,168,176,176,186,186,219,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Bonavia, Ignazio",1953,7,19832,14150,2359,23,993,7.02,20,5.55,13.19,178,0,131,138,138,151,151,154,154,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Busuttil, Louis",1953,7,19832,14150,2359,23,993,7.02,20,1.82,4.33,47,0,43,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"England, Henry Paul",1953,7,19832,14150,2359,23,993,7.02,20,1.1,2.62,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Sammut, Fredu",1953,7,19832,14150,2359,23,993,7.02,20,4.41,10.47,118,0,104,108,108,113,113,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
"Scicluna, Toninu",1953,7,19832,14150,2359,23,993,7.02,20,22.26,52.87,916,0,525,526,527,531,531,540,541,562,595,836,858,860,861,861,864,903,916,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
